Episode,Episode_Return,Average Reward (past 100)
286,12.0,245.52
287,324.0,246.71
288,253.0,247.2
289,268.0,247.82
290,318.0,248.81
291,147.0,248.11
292,243.0,248.45
293,285.0,249.4
294,310.0,250.01
295,366.0,251.62
296,239.0,251.8
297,250.0,251.72
298,290.0,252.07
299,210.0,253.89
300,226.0,255.51
301,417.0,257.73
302,310.0,258.84
303,248.0,258.86
304,285.0,258.41
305,231.0,257.87
306,218.0,255.85
307,326.0,257.21
308,216.0,257.44
309,193.0,259.17
310,416.0,260.25
311,167.0,260.32
312,337.0,259.49
313,242.0,259.44
314,268.0,259.59
315,325.0,260.32
316,220.0,259.62
317,442.0,261.33
318,317.0,264.08
319,240.0,264.46
320,365.0,265.89
321,274.0,266.68
322,313.0,267.76
323,243.0,267.81
324,243.0,267.73
325,339.0,268.81
326,269.0,268.79
327,296.0,269.71
328,205.0,271.11
329,362.0,272.37
330,255.0,271.59
331,249.0,272.05
332,346.0,273.78
333,225.0,272.52
334,500.0,277.07
335,215.0,276.73
336,229.0,276.81
337,269.0,277.73
338,268.0,277.74
339,327.0,278.35
340,276.0,278.89
341,356.0,280.05
342,223.0,277.89
343,236.0,276.78
344,412.0,278.24
345,406.0,279.73
346,212.0,280.37
347,261.0,280.55
348,275.0,280.51
349,323.0,281.71
350,348.0,282.83
351,282.0,283.18
352,202.0,282.98
353,238.0,284.46
354,268.0,284.71
355,325.0,285.66
356,285.0,285.18
357,199.0,284.98
358,251.0,285.39
359,293.0,285.72
360,316.0,286.71
361,181.0,284.65
362,282.0,284.77
363,262.0,284.88
364,253.0,285.34
365,218.0,284.97
366,255.0,285.12
367,222.0,282.34
368,299.0,281.82
369,212.0,280.94
370,203.0,280.16
371,318.0,278.34
372,188.0,277.86
373,184.0,277.05
374,208.0,275.12
375,258.0,274.59
376,202.0,273.74
377,178.0,273.53
378,190.0,272.66
379,208.0,270.53
380,205.0,270.5
381,202.0,270.43
382,198.0,267.41
383,198.0,266.44
384,329.0,266.98
385,217.0,266.08
386,180.0,267.76
387,217.0,266.69
388,225.0,266.41
389,110.0,264.83
390,228.0,263.93
391,212.0,264.58
392,192.0,264.07
393,227.0,263.49
394,270.0,263.09
395,217.0,261.6
396,215.0,261.36
397,190.0,260.76
398,180.0,259.66
399,189.0,259.45
400,182.0,259.01
401,217.0,257.01
402,193.0,255.84
403,227.0,255.63
404,58.0,253.36
405,245.0,253.5
406,95.0,252.27
407,240.0,251.41
408,251.0,251.76
